date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:39:15	6310/6310	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22c338fb2ac3e5af8b0a82e3128487d210%22	https://rayo-agency-template.vercel.app/robots.txt		(from )
13:39:15	213558/213558	---MCZ	200	added ('OK')	text/html	etag:W/%228edcba2ccc7c56e0b5d95841032cd2b0%22	https://rayo-agency-template.vercel.app/	C:/Users/dheer/OneDrive/Desktop/httrack%20files/rayo%20website/rayo-agency-template.vercel.app/index.html	(from )
13:39:16	707963/707963	---MCZ	200	added ('OK')	text/css	etag:W/%2204e583e48b074be36222f667c924fe29%22	https://rayo-agency-template.vercel.app/_next/static/chunks/0pnm0c4pzx_cz.css	C:/Users/dheer/OneDrive/Desktop/httrack%20files/rayo%20website/rayo-agency-template.vercel.app/_next/static/chunks/0pnm0c4pzx_cz.css	(from https://rayo-agency-template.vercel.app/)
13:39:16	299752/299752	---MCZ	200	added ('OK')	text/css	etag:W/%22df530feeebd098ba1c9c3a778b76489e%22	https://rayo-agency-template.vercel.app/_next/static/chunks/00n_4tb6pwz9..css	C:/Users/dheer/OneDrive/Desktop/httrack%20files/rayo%20website/rayo-agency-template.vercel.app/_next/static/chunks/00n_4tb6pwz9..css	(from https://rayo-agency-template.vercel.app/)
13:39:16	1256/1256	---MCZ	200	added ('OK')	text/css	etag:W/%22544de7296df126909cfb3289cc5100ca%22	https://rayo-agency-template.vercel.app/_next/static/chunks/0~xjdgqf8u7w~.css	C:/Users/dheer/OneDrive/Desktop/httrack%20files/rayo%20website/rayo-agency-template.vercel.app/_next/static/chunks/0_xjdgqf8u7w_.css	(from https://rayo-agency-template.vercel.app/)
13:39:17	23985/23985	---MCZ	200	added ('OK')	application/javascript	etag:W/%22850b92be7e9bcee9dc7ffa83e60e4771%22	https://rayo-agency-template.vercel.app/_next/static/chunks/16xak96v1pi97.js	C:/Users/dheer/OneDrive/Desktop/httrack%20files/rayo%20website/rayo-agency-template.vercel.app/_next/static/chunks/16xak96v1pi97.js	(from https://rayo-agency-template.vercel.app/)
13:39:17	44414/44414	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c621d697f789f9a625e80384da50359c%22	https://rayo-agency-template.vercel.app/_next/static/chunks/0pqt~8bl3ukh4.js	C:/Users/dheer/OneDrive/Desktop/httrack%20files/rayo%20website/rayo-agency-template.vercel.app/_next/static/chunks/0pqt_8bl3ukh4.js	(from https://rayo-agency-template.vercel.app/)
13:39:18	149533/149533	---MCZ	200	added ('OK')	application/javascript	etag:W/%22be91c4e982a6343862b5ef3319c57575%22	https://rayo-agency-template.vercel.app/_next/static/chunks/0ybz_coswfqfx.js	C:/Users/dheer/OneDrive/Desktop/httrack%20files/rayo%20website/rayo-agency-template.vercel.app/_next/static/chunks/0ybz_coswfqfx.js	(from https://rayo-agency-template.vercel.app/)
13:39:19	227314/227314	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213b4bf3f305ddd0a1074f505c5c4e2e9%22	https://rayo-agency-template.vercel.app/_next/static/chunks/08891q~ebv1~q.js	C:/Users/dheer/OneDrive/Desktop/httrack%20files/rayo%20website/rayo-agency-template.vercel.app/_next/static/chunks/08891q_ebv1_q.js	(from https://rayo-agency-template.vercel.app/)
13:39:19	10947/10947	---MCZ	200	added ('OK')	application/javascript	etag:W/%226bfe30430d6d80a001ea1d33cd46c888%22	https://rayo-agency-template.vercel.app/_next/static/chunks/turbopack-033.msmja-.cf.js	C:/Users/dheer/OneDrive/Desktop/httrack%20files/rayo%20website/rayo-agency-template.vercel.app/_next/static/chunks/turbopack-033.msmja-.cf.js	(from https://rayo-agency-template.vercel.app/)
